column,var_val,desc
hrmonth,1,MIN VALUE
hrmonth,12,MAX VALUE
hryear4,1998,MIN VALUE
hryear4,2999,MAX VALUE
hurespli,0,MIN VALUE
hurespli,99,MAX VALUE
hufinal,1,FULLY COMPLETE CATI INTERVIEW
hufinal,2,PARTIALLY COMPLETED CATI INTERVIEW
hufinal,3,COMPLETE BUT PERSONAL VISIT REQUESTED NEXT MONTH
hufinal,4,"PARTIAL ,  NOT COMPLETE AT CLOSEOUT"
hufinal,5,"LABOR FORCE COMPLETE ,  SUPPLEMENT INCOMPLETE  -  CATI"
hufinal,6,"LF COMPLETE ,  SUPPLEMENT DK ITEMS INCOMPLETE AT CLOSEOUT  ASEC ONLY"
hufinal,20,HH OCCUPIED ENTIRELY BY ARMED FORCES MEMBERS OR ALL UNDER 15 YEARS OF AGE
hufinal,201,CAPI COMPLETE
hufinal,202,CALLBACK NEEDED
hufinal,203,SUFFICIENT PARTIAL  -  PRECLOSEOUT
hufinal,204,SUFFICIENT PARTIAL  -  AT CLOSEOUT
hufinal,205,"LABOR FORCE COMPLETE , -  SUPPL .  INCOMPLETE  -  CAPI"
hufinal,213,LANGUAGE BARRIER
hufinal,214,UNABLE TO LOCATE
hufinal,216,NO ONE HOME
hufinal,217,TEMPORARILY ABSENT
hufinal,218,REFUSED
hufinal,219,OTHER OCCUPIED  -  SPECIFY
hufinal,223,ENTIRE HOUSEHOLD ARMED FORCES
hufinal,224,ENTIRE HOUSEHOLD UNDER 15
hufinal,225,TEMP .  OCCUPIED W / PERSONS WITH URE
hufinal,226,VACANT REGULAR
hufinal,227,VACANT  -  STORAGE OF HHLD FURNITURE
hufinal,228,"UNFIT ,  TO BE DEMOLISHED"
hufinal,229,"UNDER CONSTRUCTION ,  NOT READY"
hufinal,230,CONVERTED TO TEMP BUSINESS OR STORAGE
hufinal,231,UNOCCUPIED TENT OR TRAILER SITE
hufinal,232,PERMIT GRANTED  -  CONSTRUCTION NOT STARTED
hufinal,233,OTHER  -  SPECIFY
hufinal,240,DEMOLISHED
hufinal,241,HOUSE OR TRAILER MOVED
hufinal,242,OUTSIDE SEGMENT
hufinal,243,CONVERTED TO PERM .  BUSINESS OR STORAGE
hufinal,244,MERGED
hufinal,245,CONDEMNED
hufinal,247,UNUSED SERIAL NUMBER OR LISTING SHEET
hufinal,248,OTHER  -  SPECIFY
hufinal,258,UNLOCATABLE SAMPLE ADDRESS
hufinal,259,UNIT DOES NOT EXIST / OUT OF SCOPE
hufinal,256,REMOVED DURING SUB - SAMPLING
hufinal,257,UNIT ALREADY HAD A CHANCE OF SELECTION FILLER 2 27  -  28
hetenure,1,OWNED OR BEING BOUGHT BY A HH MEMBER
hetenure,2,RENTED FOR CASH
hetenure,3,OCCUPIED WITHOUT PAYMENT OF CASH RENT NOTE :  May be missing on the Basic CPS microdata files . This will be updated on later releases of the same month  s data .
hehousut,0,OTHER UNIT
hehousut,1,"HOUSE ,  APARTMENT ,  FLAT"
hehousut,2,"HU IN NONTRANSIENT HOTEL ,  MOTEL ,  ETC ."
hehousut,3,"HU PERMANENT IN TRANSIENT HOTEL ,  MOTEL"
hehousut,4,HU IN ROOMING HOUSE
hehousut,5,MOBILE HOME OR TRAILER W / NO PERM .  ROOM ADDED
hehousut,6,MOBILE HOME OR TRAILER W / 1 OR MORE PERM .  ROOMS ADDED
hehousut,7,HU NOT SPECIFIED ABOVE
hehousut,8,QUARTERS NOT HU IN ROOMING OR BRDING HS
hehousut,9,"UNIT NOT PERM .  IN TRANSIENT HOTL ,  MOTL"
hehousut,10,UNOCCUPIED TENT SITE OR TRLR SITE
hehousut,11,STUDENT QUARTERS IN COLLEGE DORM
hehousut,12,OTHER UNIT NOT SPECIFIED ABOVE
hetelhhd,1,YES
hetelhhd,2,NO
hetelavl,1,YES
hetelavl,2,NO
hephoneo,0,NO
hephoneo,1,YES
hefaminc,1,"LESS THAN  $ 5 , 000"
hefaminc,2,"5 , 000 TO 7 , 499"
hefaminc,3,"7 , 500 TO 9 , 999"
hefaminc,4,"10 , 000 TO 12 , 499"
hefaminc,5,"12 , 500 TO 14 , 999"
hefaminc,6,"15 , 000 TO 19 , 999"
hefaminc,7,"20 , 000 TO 24 , 999"
hefaminc,8,"25 , 000 TO 29 , 999"
hefaminc,9,"30 , 000 TO 34 , 999"
hefaminc,10,"35 , 000 TO 39 , 999"
hefaminc,11,"40 , 000 TO 49 , 999"
hefaminc,12,"50 , 000 TO 59 , 999"
hefaminc,13,"60 , 000 TO 74 , 999"
hefaminc,14,"75 , 000 TO 99 , 999"
hefaminc,15,"100 , 000 TO 149 , 999"
hefaminc,16,"150 , 000 OR MORE"
hutypea,1,NO ONE HOME  ( NOH )
hutypea,2,TEMPORARILY ABSENT  ( TA )
hutypea,3,REFUSED  ( REF )
hutypea,4,LANGUAGE BARRIER
hutypea,5,UNABLE TO LOCATE
hutypea,6,OTHER OCCUPIED  -  SPECIFY
hutypb,1,VACANT REGULAR
hutypb,2,TEMPORARILY OCCUPIED BY PERSONS W /  URE
hutypb,3,VACANT - STORAGE OF HHLD FURNITURE
hutypb,4,UNFIT OR TO BE DEMOLISHED
hutypb,5,"UNDER CONSTRUCTION ,  NOT READY"
hutypb,6,CONVERTED TO TEMP BUSINESS OR STORAGE
hutypb,7,UNOCCUPIED TENT SITE OR TRAILER SITE
hutypb,8,PERMIT GRANTED CONSTRUCTION NOT STARTED
hutypb,9,OTHER TYPE B  -  SPECIFY
hutypc,1,DEMOLISHED
hutypc,2,HOUSE OR TRAILER MOVED
hutypc,3,OUTSIDE SEGMENT
hutypc,4,CONVERTED TO PERM .  BUSINESS OR STORAGE
hutypc,5,MERGED
hutypc,6,CONDEMNED
hutypc,7,UNUSED LINE OF LISTING SHEET
hutypc,8,UNLOCATABLE SAMPLE ADDRESS
hutypc,9,UNIT DOES NOT EXIST / OUT OF SCOPE
hutypc,10,OTHER  -  SPECIFY
hrintsta,1,INTERVIEW
hrintsta,2,TYPE A NON - INTERVIEW
hrintsta,3,TYPE B NON - INTERVIEW
hrintsta,4,TYPE C NON - INTERVIEW
hrnumhou,0,MIN VALUE
hrnumhou,16,MAX VALUE
hrhtype,0,NON - INTERVIEW HOUSEHOLD
hrhtype,1,HUSBAND / WIFE PRIMARY FAMILY  ( NEITHER AF )
hrhtype,2,HUSB / WIFE PRIM .  FAMILY  ( EITHER / BOTH AF )
hrhtype,3,UNMARRIED CIVILIAN MALE - PRIM .  FAM HHLDER
hrhtype,4,UNMARRIED CIV .  FEMALE - PRIM FAM HHLDER
hrhtype,5,"PRIMARY FAMILY HHLDER - RP IN AF ,  UNMAR ."
hrhtype,6,CIVILIAN MALE PRIMARY INDIVIDUAL
hrhtype,7,CIVILIAN FEMALE PRIMARY INDIVIDUAL
hrhtype,8,PRIMARY INDIVIDUAL HHLD - RP IN AF
hrhtype,9,GROUP QUARTERS WITH FAMILY
hrhtype,10,GROUP QUARTERS WITHOUT FAMILY
hrmis,1,MIN VALUE
hrmis,8,MAX VALUE
huinttyp,0,NONINTERVIEW / INDETERMINATE
huinttyp,1,PERSONAL
huinttyp,2,TELEPHONE
huprscnt,1,MIN VALUE
huprscnt,9,MAX VALUE HRLONGLK 2 LONGITUDINAL LINK INDICATOR 69  -  70
huprscnt,0,MIS 1 OR REPLACEMENT HH  ( NO LINK )
huprscnt,2,MIS 2 - 4 OR MIS 6 - 8
huprscnt,3,MIS 5
hrhhid2,75,Household Number  ( HUHHNUM )
hwhhwtln,0,MIN VALUE
hwhhwtln,16,MAX VALUE FILLER 1 78  -  78
hubus,1,YES
hubus,2,NO
hubusl1,1,MIN VALUE
hubusl1,99,MAX VALUE
hubusl2,1,MIN VALUE
hubusl2,99,MAX VALUE
hubusl3,1,MIN VALUE
hubusl3,99,MAX VALUE
hubusl4,1,MIN VALUE
hubusl4,99,MAX VALUE A2 .  GEOGRAPHIC INFORMATION
gereg,1,NORTHEAST
gereg,2,MIDWEST  ( FORMERLY NORTH CENTRAL )
gereg,3,SOUTH
gereg,4,WEST
gediv,1,NEW ENGLAND
gediv,2,MIDDLE ATLANTIC
gediv,3,EAST NORTH CENTRAL
gediv,4,WEST NORTH CENTRAL
gediv,5,SOUTH ATLANTIC
gediv,6,EAST SOUTH CENTRAL
gediv,7,WEST SOUTH CENTRAL 8 MOUNTAIN 9 PACIFIC FILLER 1 92    92
gestfips,1,AL 30 MT
gestfips,2,AK 31 NE
gestfips,4,AZ 32 NV
gestfips,5,AR 33 NH
gestfips,6,CA 34 NJ
gestfips,8,CO 35 NM
gestfips,9,CT 36 NY
gestfips,10,DE 37 NC
gestfips,11,DC 38 ND
gestfips,12,FL 39 OH
gestfips,13,GA 40 OK
gestfips,15,HI 41 OR
gestfips,16,ID 42 PA
gestfips,17,IL 44 RI
gestfips,18,IN 45 SC
gestfips,19,IA 46 SD
gestfips,20,KS 47 TN
gestfips,21,KY 48 TX
gestfips,22,LA 49 UT
gestfips,23,ME 50 VT
gestfips,24,MD 51 VA
gestfips,25,MA 53 WA
gestfips,26,MI 54 WV
gestfips,27,MN 55 WI
gestfips,28,MS 56 WY
gestfips,29,MO FILLER 1 95  -  95
gtcbsa,0,NOT IDENTIFIED OR NONMETROPOLITAN
gtcbsa,10180,MIN VALUE
gtcbsa,49740,MAX VALUE
gtco,0,"NOT IDENTIFIED 001 - 810 SPECIFIC COUNTY CODE  ( SEE GEOGRAPHIC ATTACHMENT ) NOTE :   THIS CODE MUST BE USED IN COMBINATION WITH A STATE CODE  ( GESTFIPS or GESTCEN )  IN ORDER TO UNIQUELY IDENTIFY A COUNTY .  ALSO ,  MOST COUNTIES ARE NOT IDENTIFIED ."
gtcbsast,1,PRINCIPAL CITY
gtcbsast,2,BALANCE
gtcbsast,3,NONMETROPOLITAN
gtcbsast,4,NOT IDENTIFIED
gtmetsta,1,METROPOLITAN
gtmetsta,2,NONMETROPOLITAN
gtmetsta,3,NOT IDENTIFIED
gtindvpc,0,"NOT IDENTIFIED ,  NONMETROPOLITAN ,  or NOT A CENTRAL CITY 1 - 7 SPECIFIC PRINCIPAL CITY CODE  ( SEE GEOGRAPHIC ATTACHMENT  ) NOTE :   WHENEVER POSSIBLE THIS CODE IDENTIFIES SPECIFIC PRINCIPAL CITIES IN A METROPOLITAN AREA THAT HAS MULTIPLE PRINCIPAL CITIES .   THIS CODE MUST BE USED IN COMBINATION WITH THE CBSA FIPS CODE  ( GTCBSA )  IN ORDER TO UNIQUELY IDENTIFY A SPECIFIC CITY ."
gtcbsasz,0,NOT IDENTIFIED OR NONMETROPOLITAN
gtcbsasz,2,"100 , 000  -  249 , 999"
gtcbsasz,3,"250 , 000  -  499 , 999"
gtcbsasz,4,"500 , 000  -  999 , 999"
gtcbsasz,5,"1 , 000 , 000  -  2 , 499 , 999"
gtcbsasz,6,"2 , 500 , 000  -  4 , 999 , 999"
gtcbsasz,7,"5 , 000 , 000 +"
gtcsa,0,NOT IDENTIFIED OR NONMETROPOLITAN
gtcsa,104,MIN VALUE
gtcsa,548,MAX VALUE FILLER 3 111  -  113 A3 .   PERSONS INFORMATION DEMOGRAPHIC ITEMS FILLER 2 Starting January 2014 114  -  117
perrp,40,REFERENCE PERSON W / RELS .
perrp,41,REFERENCE PERSON W / O RELS .
perrp,42,OPPOSITE SEX SPOUSE
perrp,43,OPPOSITE SEX PARTNER WITH RELATIVES
perrp,44,OPPOSITE SEC PARTNER WITHOUT RELATIVES
perrp,45,SAME SEX SPOUSE
perrp,46,SAME SEX PARTNER WITH RELATIVES
perrp,47,SAME SEX PARTNER WITHOUT RELATIVES
perrp,48,CHILD
perrp,49,GRANDCHILD
perrp,50,PARENT
perrp,51,BROTHER / SISTER
perrp,52,OTHER REL .  OR REF .  PERSON
perrp,53,FOSTER CHILD
perrp,54,HOUSEMATE / ROOMMATE W / RELS .
perrp,55,HOUSEMATE / ROOMMATEW / O RELS .
perrp,56,ROOMER / BOARDER W / RELS .
perrp,57,ROOMER / BOARDER W / OUT RELS .
perrp,58,NONRELATIVE OF REFERENCE PERSON W / RELS .
perrp,59,NONRELATIVE OF REFERENCE PERSON W / OUT RELS . FILLER 2 120  -  121
prtage,80,80 - 84 Years Old 85 85 +  Years Old
prtfage,0,NO TOP CODE
prtfage,1,TOP CODED VALUE FOR AGE
pemaritl,1,MARRIED  -  SPOUSE PRESENT
pemaritl,2,MARRIED  -  SPOUSE ABSENT
pemaritl,3,WIDOWED
pemaritl,4,DIVORCED
pemaritl,5,SEPARATED
pemaritl,6,NEVER MARRIED
pespouse,1,MIN VALUE
pespouse,99,MAX VALUE
pesex,1,MALE
pesex,2,FEMALE
peafever,1,YES
peafever,2,NO FILLER 2 Starting August 2005 133  -  134
peafnow,1,YES
peafnow,2,NO
peeduca,31,LESS THAN 1ST GRADE
peeduca,32,"1ST ,  2ND ,  3RD OR 4TH GRADE"
peeduca,33,5TH OR 6TH GRADE
peeduca,34,7TH OR 8TH GRADE
peeduca,35,9TH GRADE
peeduca,36,10TH GRADE
peeduca,37,11TH GRADE
peeduca,38,12TH GRADE NO DIPLOMA
peeduca,39,HIGH SCHOOL GRAD - DIPLOMA OR EQUIV  ( GED )
peeduca,40,SOME COLLEGE BUT NO DEGREE
peeduca,41,ASSOCIATE DEGREE - OCCUPATIONAL / VOCATIONAL
peeduca,42,ASSOCIATE DEGREE - ACADEMIC PROGRAM
peeduca,43,"BACHELOR ' S DEGREE  ( EX :  BA ,  AB ,  BS )"
peeduca,44,"MASTER ' S DEGREE  ( EX :  MA ,  MS ,  MEng ,  MEd ,  MSW )"
peeduca,45,"PROFESSIONAL SCHOOL DEG  ( EX :  MD ,  DDS ,  DVM )"
peeduca,46,"DOCTORATE DEGREE  ( EX :  PhD ,  EdD )"
ptdtrace,1,White Only
ptdtrace,2,Black Only
ptdtrace,3,"American Indian ,  Alaskan Native Only"
ptdtrace,4,Asian Only
ptdtrace,5,Hawaiian / Pacific Islander Only
ptdtrace,6,White - Black
ptdtrace,7,White - AI
ptdtrace,8,White - Asian
ptdtrace,9,White - HP
ptdtrace,10,Black - AI
ptdtrace,11,Black - Asian
ptdtrace,12,Black - HP
ptdtrace,13,AI - Asian
ptdtrace,14,AI - HP
ptdtrace,15,Asian - HP
ptdtrace,16,W - B - AI
ptdtrace,17,W - B - A
ptdtrace,18,W - B - HP
ptdtrace,19,W - AI - A
ptdtrace,20,W - AI - HP
ptdtrace,21,W - A - HP
ptdtrace,22,B - AI - A
ptdtrace,23,W - B - AI - A
ptdtrace,24,W - AI - A - HP
ptdtrace,25,Other 3 Race Combinations
ptdtrace,26,Other 4 and 5 Race Combinations
prdthsp,1,.   Mexican
prdthsp,2,.   Puerto Rican
prdthsp,3,.   Cuban
prdthsp,4,.   Dominican
prdthsp,5,.   Salvadoran
prdthsp,6,".   Central American ,  excluding Salvadoran"
prdthsp,7,.   South American
prdthsp,8,.   Other Spanish
puchinhh,1,PERSON ADDED
puchinhh,2,PERSON ADDED  -  URE
puchinhh,3,PERSON UNDELETED
puchinhh,4,PERSON DIED
puchinhh,5,DELETED FOR REASON OTHER THAN DEATH
puchinhh,6,PERSON JOINED ARMED FORCES
puchinhh,7,PERSON NO LONGER IN AF
puchinhh,9,CHANGE IN DEMOGRAPHIC INFORMATION FILLER 2 145  -  146
pulineno,1,MIN VALUE
pulineno,99,MAX VALUE FILLER 2 149  -  150
prfamnum,0,NOT A FAMILY MEMBER
prfamnum,1,PRIMARY FAMILY MEMBER ONLY
prfamnum,2,SUBFAMILY NO .  2 MEMBER
prfamnum,3,SUBFAMILY NO .  3 MEMBER
prfamnum,4,SUBFAMILY NO .  4 MEMBER
prfamnum,5,SUBFAMILY NO .  5 MEMBER
prfamnum,6,SUBFAMILY NO .  6 MEMBER
prfamnum,7,SUBFAMILY NO .  7 MEMBER
prfamnum,8,SUBFAMILY NO .  8 MEMBER
prfamnum,9,SUBFAMILY NO .  9 MEMBER
prfamnum,10,SUBFAMILY NO .  10 MEMBER
prfamnum,11,SUBFAMILY NO .  11 MEMBER
prfamnum,12,SUBFAMILY NO .  12 MEMBER
prfamnum,13,SUBFAMILY NO .  13 MEMBER
prfamnum,14,SUBFAMILY NO .  14 MEMBER
prfamnum,15,SUBFAMILY NO .  15 MEMBER
prfamnum,16,SUBFAMILY NO .  16 MEMBER
prfamnum,17,SUBFAMILY NO .  17 MEMBER
prfamnum,18,SUBFAMILY NO .  18 MEMBER
prfamnum,19,SUBFAMILY NO .  19 MEMBER
prfamrel,0,NOT A FAMILY MEMBER
prfamrel,1,REFERENCE PERSON
prfamrel,2,SPOUSE
prfamrel,3,CHILD
prfamrel,4,OTHER RELATIVE  ( PRIMARY FAMILY  &  UNREL )
prfamtyp,1,PRIMARY FAMILY
prfamtyp,2,PRIMARY INDIVIDUAL
prfamtyp,3,RELATED SUBFAMILY
prfamtyp,4,UNRELATED SUBFAMILY
prfamtyp,5,SECONDARY INDIVIDUAL
pehspnon,1,HISPANIC
pehspnon,2,NON - HISPANIC
prmarsta,1,"MARRIED ,  CIVILIAN SPOUSE PRESENT"
prmarsta,2,"MARRIED ,  ARMED FORCES SPOUSE PRESENT"
prmarsta,3,"MARRIED ,  SPOUSE ABSENT  ( EXC .  SEPARATED )"
prmarsta,4,WIDOWED
prmarsta,5,DIVORCED
prmarsta,6,SEPARATED
prmarsta,7,NEVER MARRIED
prpertyp,1,CHILD HOUSEHOLD MEMBER
prpertyp,2,ADULT CIVILIAN HOUSEHOLD MEMBER
prpertyp,3,ADULT ARMED FORCES HOUSEHOLD MEMBER
penatvty,57,UNITED STATES
penatvty,60,AM SAMOA
penatvty,66,GUAM
penatvty,73,PUERTO RICO
penatvty,78,U .  S .  VIRGIN ISLANDS
penatvty,96,OTHER U .  S .  ISLAND AREA 100 - 554 FOREIGN COUNTRY  ( SEE APPENDIX )
penatvty,555,ELSEWHERE
pemntvty,57,UNITED STATES
pemntvty,60,AM SAMOA
pemntvty,66,GUAM
pemntvty,73,PUERTO RICO
pemntvty,78,U .  S .  VIRGIN ISLANDS
pemntvty,96,OTHER U .  S .  ISLAND AREA 100 - 554 FOREIGN COUNTRY  ( SEE APPENDIX )
pemntvty,555,ELSEWHERE
pefntvty,57,UNITED STATES
pefntvty,60,AM SAMOA
pefntvty,66,GUAM
pefntvty,73,PUERTO RICO
pefntvty,78,U .  S .  VIRGIN ISLANDS
pefntvty,96,OTHER U .  S .  ISLAND AREA 100 - 554 FOREIGN COUNTRY  ( SEE APPENDIX )
pefntvty,555,ELSEWHERE
prcitshp,1,"NATIVE ,  BORN IN THE UNITED STATES"
prcitshp,2,"NATIVE ,  BORN IN PUERTO RICO OR OTHER U . S .  ISLAND AREAS"
prcitshp,3,"NATIVE ,  BORN ABROAD OF AMERICAN PARENT OR PARENTS"
prcitshp,4,"FOREIGN BORN ,  U . S .  CITIZEN BY NATURALIZATION"
prcitshp,5,"FOREIGN BORN ,  NOT A CITIZEN OF THE UNITED STATES"
prinusyr,0,NOT FOREIGN BORN
prinusyr,1,BEFORE 1950
prinusyr,2,1950 - 1959
prinusyr,3,1960 - 1964
prinusyr,4,1965 - 1969
prinusyr,5,1970 - 1974
prinusyr,6,1975 - 1979
prinusyr,7,1980 - 1981
prinusyr,8,1982 - 1983
prinusyr,9,1984 - 1985
prinusyr,10,1986 - 1987
prinusyr,11,1988 - 1989
prinusyr,12,1990 - 1991
prinusyr,13,1992 - 1993
prinusyr,14,1994 - 1995
prinusyr,15,1996 - 1997
prinusyr,16,1998 - 1999
prinusyr,17,2000 - 2001
prinusyr,18,2002 - 2003
prinusyr,19,2004 - 2005
prinusyr,20,2006 - 2007
prinusyr,21,2008 - 2009
prinusyr,22,2010 - 2011
prinusyr,23,2012 - 2013
prinusyr,24,2014 - 2015
prinusyr,25,2016 - 2017
prinusyr,26,2018 - 2019
prinusyr,27,2020 - 2022 A4 .   PERSONS INFORMATION LABOR FORCE ITEMS
puslfprx,1,SELF
puslfprx,2,PROXY
puslfprx,3,BOTH SELF AND PROXY
pemlr,1,EMPLOYED - AT WORK
pemlr,2,EMPLOYED - ABSENT
pemlr,3,UNEMPLOYED - ON LAYOFF
pemlr,4,UNEMPLOYED - LOOKING
pemlr,5,NOT IN LABOR FORCE - RETIRED
pemlr,6,NOT IN LABOR FORCE - DISABLED
pemlr,7,NOT IN LABOR FORCE - OTHER
puwk,1,YES
puwk,2,NO
puwk,3,RETIRED
puwk,4,DISABLED
puwk,5,UNABLE TO WORK
pubus1,1,YES
pubus1,2,NO
pubus2ot,1,YES
pubus2ot,2,NO
pubusck1,1,GOTO PUBUS1
pubusck1,2,GOTO PURETCK1
pubusck2,1,GOTO PUHRUSL1
pubusck2,2,GOTO PUBUS2
pubusck3,1,GOTO PUABSRSN
pubusck3,2,GOTO PULAY
pubusck4,1,GOTO PUHRUSL1
pubusck4,2,GOTO PUABSPD
puretot,1,YES
puretot,2,NO
